orthogroup_id	species_id	sequence_id
OG0009264	Acropora_acuminata_SLJPv1	Acropora_acuminata_SLJPv1___s0150.g1.t1
OG0009264	Acropora_awi_SLJPv1	Acropora_awi_SLJPv1___s0156.g2.t1
OG0009264	Acropora_cytherea_SLJPv1	Acropora_cytherea_SLJPv1___s0132.g33.t1
OG0009264	Acropora_cytherea_SLJPv1	Acropora_cytherea_SLJPv1___s0132.g34.t1
OG0009264	Acropora_cytherea_SLJPv1	Acropora_cytherea_SLJPv1___s0132.g35.t1
OG0009264	Acropora_cytherea_SLJPv1	Acropora_cytherea_SLJPv1___s0132.g38.t1
OG0009264	Acropora_cytherea_SLJPv1	Acropora_cytherea_SLJPv1___s0132.g39.t1
OG0009264	Acropora_cytherea_SLJPv1	Acropora_cytherea_SLJPv1___s0132.g40.t1
OG0009264	Acropora_cytherea_SLJPv1	Acropora_cytherea_SLJPv1___s0132.g41.t1
OG0009264	Acropora_gemmifera_SLJPv1	Acropora_gemmifera_SLJPv1___s0127.g65.t1
OG0009264	Acropora_gemmifera_SLJPv1	Acropora_gemmifera_SLJPv1___s0190.g1.t1
OG0009264	Acropora_hyacinthus_SLJPv1	Acropora_hyacinthus_SLJPv1___s0023.g44.t1
OG0009264	Acropora_hyacinthus_SLJPv1	Acropora_hyacinthus_SLJPv1___s0023.g45.t1
OG0009264	Acropora_intermedia_SLJPv1	Acropora_intermedia_SLJPv1___s0195.g2.t1
OG0009264	Acropora_intermedia_SLJPv1	Acropora_intermedia_SLJPv1___s0558.g1.t1
OG0009264	Acropora_intermedia_SLJPv1	Acropora_intermedia_SLJPv1___s1404.g1.t1
OG0009264	Acropora_microphthalma_SLJPv1	Acropora_microphthalma_SLJPv1___s0098.g50.t1
OG0009264	Acropora_microphthalma_SLJPv1	Acropora_microphthalma_SLJPv1___s0098.g51.t1
OG0009264	Acropora_microphthalma_SLJPv1	Acropora_microphthalma_SLJPv1___s0098.g52.t2
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_029203403.2
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044168504.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044170224.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044170227.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044170228.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044170229.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044170230.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044170231.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044170232.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044175981.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044175985.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044175986.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044175990.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044176075.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044176116.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044176117.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044176481.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044176603.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044177069.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044177195.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044177605.1
OG0009264	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_044177759.1
OG0009264	Acropora_muricata_SLJPv1	Acropora_muricata_SLJPv1___s0147.g1.t1
OG0009264	Acropora_muricata_SLJPv1	Acropora_muricata_SLJPv1___s0147.g2.t1
OG0009264	Acropora_nasuta_SLJPv1	Acropora_nasuta_SLJPv1___s0176.g50.t1
OG0009264	Acropora_selago_SLJPv1	Acropora_selago_SLJPv1___s0336.g17.t1
OG0009264	Acropora_selago_SLJPv1	Acropora_selago_SLJPv1___s0373.g7.t1
OG0009264	Astreopora_myriophthalma_SLJPv2	Astreopora_myriophthalma_SLJPv2___sc0000048.g0055.t1
OG0009264	Fungia_spp_REEFv1	Fungia_spp_REEFv1___m4.12790.m1
OG0009264	Galaxea_fascicularis_REEFv1	Galaxea_fascicularis_REEFv1___m1.19047.m1
OG0009264	Montastraea_cavernosa_REEFv1	Montastraea_cavernosa_REEFv1___25682
OG0009264	Montastrea_cavernosa_FGUSv2	Montastrea_cavernosa_FGUSv2___20807-RA
OG0009264	Montipora_cactus_SLJPv2	Montipora_cactus_SLJPv2___sc0000035.g0048.t1
OG0009264	Montipora_capitata_KBHIv3	Montipora_capitata_KBHIv3___RNAseq.g24243.t1
OG0009264	Montipora_capitata_WTHIv1.1	Montipora_capitata_WTHIv1.1___g28045.t1
OG0009264	Montipora_efflorescens_SLJPv2	Montipora_efflorescens_SLJPv2___sc0000117.g0046.t1
OG0009264	Montipora_foliosa_XSCSv1	Montipora_foliosa_XSCSv1___transcript_HQ_E3_1_transcript4167_f2p0_1843_m.735
OG0009264	Orbicella_faveolata_NAPAv1	Orbicella_faveolata_NAPAv1___XP_020604139.1
OG0009264	Platygyra_sinensis_SDTHv1	Platygyra_sinensis_SDTHv1___evm.model.contig_52532.4
OG0009264	Pocillopora_acuta_KBHIv2	Pocillopora_acuta_KBHIv2___RNAseq.g3694.t1
OG0009264	Pocillopora_acuta_KBHIv2	Pocillopora_acuta_KBHIv2___TS.g3507.t1
OG0009264	Pocillopora_acuta_LBIDv1	Pocillopora_acuta_LBIDv1___TCONS_00007637.p1
OG0009264	Pocillopora_acuta_LBIDv1	Pocillopora_acuta_LBIDv1___TCONS_00007638.p1
OG0009264	Pocillopora_cf_effusa_NAPFv3	Pocillopora_cf_effusa_NAPFv3___00033605
OG0009264	Pocillopora_cf_effusa_NAPFv3	Pocillopora_cf_effusa_NAPFv3___00033606
OG0009264	Pocillopora_damicornis_SIPAv1	Pocillopora_damicornis_SIPAv1___00020196-RA
OG0009264	Pocillopora_damicornis_SIPAv1	Pocillopora_damicornis_SIPAv1___00022516-RA
OG0009264	Pocillopora_meandrina_KBHIv1	Pocillopora_meandrina_KBHIv1___RNAseq.g20328.t1
OG0009264	Pocillopora_meandrina_KBHIv1	Pocillopora_meandrina_KBHIv1___TS.g29705.t1
OG0009264	Pocillopora_verrucosa_RSSAv1	Pocillopora_verrucosa_RSSAv1___g14783.t1
OG0009264	Pocillopora_verrucosa_RSSAv1	Pocillopora_verrucosa_RSSAv1___g17820.t1
OG0009264	Porites_australiensis_SLJPv1	Porites_australiensis_SLJPv1___s0006.g16.t1
OG0009264	Porites_compressa_KBHIv1	Porites_compressa_KBHIv1___RNAseq.g28078.t1
OG0009264	Porites_evermanni_NAPFv1	Porites_evermanni_NAPFv1___00021375
OG0009264	Porites_lobata_NAPFv3	Porites_lobata_NAPFv3___00032723
OG0009264	Porites_lobata_REEFv1	Porites_lobata_REEFv1___15362
OG0009264	Porites_lutea_OIAUv1.1	Porites_lutea_OIAUv1.1___m8.3140.m1
OG0009264	Porites_rus_NAIDv1	Porites_rus_NAIDv1___21611_t
OG0009264	Stylophora_pistillata_GAJOv1	Stylophora_pistillata_GAJOv1___1669
OG0009264	Stylophora_pistillata_GAJOv1	Stylophora_pistillata_GAJOv1___1670
OG0009748	Acropora_acuminata_SLJPv1	Acropora_acuminata_SLJPv1___s0090.g23.t1
OG0009748	Acropora_awi_SLJPv1	Acropora_awi_SLJPv1___s0102.g47.t1
OG0009748	Acropora_cytherea_SLJPv1	Acropora_cytherea_SLJPv1___s0146.g11.t1
OG0009748	Acropora_digitifera_SLJPv2	Acropora_digitifera_SLJPv2___s0134.g45.t1
OG0009748	Acropora_echinata_SLJPv1	Acropora_echinata_SLJPv1___s0069.g12.t1
OG0009748	Acropora_echinata_SLJPv1	Acropora_echinata_SLJPv1___s0069.g13.t1
OG0009748	Acropora_gemmifera_SLJPv1	Acropora_gemmifera_SLJPv1___s0010.g94.t1
OG0009748	Acropora_hyacinthus_SLJPv1	Acropora_hyacinthus_SLJPv1___s0067.g46.t1
OG0009748	Acropora_intermedia_SLJPv1	Acropora_intermedia_SLJPv1___s0458.g11.t1
OG0009748	Acropora_microphthalma_SLJPv1	Acropora_microphthalma_SLJPv1___s0101.g68.t1
OG0009748	Acropora_muricata_SLJPv1	Acropora_muricata_SLJPv1___s0239.g16.t1
OG0009748	Acropora_nasuta_SLJPv1	Acropora_nasuta_SLJPv1___s0248.g22.t1
OG0009748	Acropora_selago_SLJPv1	Acropora_selago_SLJPv1___s0268.g18.t1
OG0009748	Acropora_selago_SLJPv1	Acropora_selago_SLJPv1___s3532.g1.t1
OG0009748	Acropora_tenuis_SLJPv1	Acropora_tenuis_SLJPv1___s0118.g46.t1
OG0009748	Acropora_yongei_SLJPv1	Acropora_yongei_SLJPv1___s0250.g12.t1
OG0009748	Astreopora_myriophthalma_SLJPv2	Astreopora_myriophthalma_SLJPv2___sc0000061.g0022.t1
OG0009748	Astreopora_myriophthalma_SLJPv2	Astreopora_myriophthalma_SLJPv2___sc0000061.g0023.t1
OG0009748	Fungia_spp_REEFv1	Fungia_spp_REEFv1___m4.33967.m1
OG0009748	Fungia_spp_REEFv1	Fungia_spp_REEFv1___m4.4064.m1
OG0009748	Fungia_spp_REEFv1	Fungia_spp_REEFv1___m4.4065.m1
OG0009748	Fungia_spp_REEFv1	Fungia_spp_REEFv1___m4.4066.m1
